碧林湾新苑,1室1厅,61.32平米,https://sh.lianjia.com/chengjiao/107101695031.html,2019.09.07,346,挂牌360万,成交周期9天,56426,中楼层(共18层),2010年建板楼,南 , 简装
青年路313号,2室1厅,61.82平米,https://sh.lianjia.com/chengjiao/107101596977.html,2019.08.31,341,挂牌370万,成交周期31天,55128,中楼层(共5层),1988年建板楼,南 , 简装
青年路277号,2室0厅,53.17平米,https://sh.lianjia.com/chengjiao/107101690807.html,2019.08.29,344,挂牌350万,成交周期2天,64605,高楼层(共5层),1987年建板楼,南 , 其他
碧林湾(公寓),2室2厅,88.54平米,https://sh.lianjia.com/chengjiao/107101249996.html,2019.08.28,535,挂牌546万,成交周期128天,60425,高楼层(共6层),2004年建板楼,南 , 精装
金球花园,3室2厅,107.84平米,https://sh.lianjia.com/chengjiao/107101469064.html,2019.08.27,490,挂牌515万,成交周期63天,45392,低楼层(共6层),1997年建板楼,南 北 , 简装
秀枫翠谷,2室1厅,76.78平米,https://sh.lianjia.com/chengjiao/107101648610.html,2019.08.26,410,挂牌430万,成交周期11天,53400,低楼层(共6层),1994年建板楼,南 , 精装
万泰花园,2室1厅,65.76平米,https://sh.lianjia.com/chengjiao/107101033037.html,2019.08.26,360,挂牌370万,成交周期187天,54745,中楼层(共6层),1997年建板楼,南 , 简装
吴宝新村,2室1厅,64.79平米,https://sh.lianjia.com/chengjiao/107101627309.html,2019.08.26,308,挂牌315万,成交周期16天,47539,高楼层(共6层),1994年建板楼,南 北 , 精装
茂盛花苑,2室1厅,54.48平米,https://sh.lianjia.com/chengjiao/107101220164.html,2019.08.25,223,挂牌240万,成交周期134天,40933,低楼层(共6层),1994年建板楼,南 , 简装
万泰花园,2室1厅,65.76平米,https://sh.lianjia.com/chengjiao/107101674298.html,2019.08.25,357,挂牌360万,成交周期3天,54289,低楼层(共6层),1997年建板楼,南 , 简装
秀枫翠谷,2室1厅,65.8平米,https://sh.lianjia.com/chengjiao/107101380660.html,2019.08.19,398,挂牌410万,成交周期80天,60487,高楼层(共6层),1994年建板楼,南 , 精装
秀枫翠谷,3室2厅,94.11平米,https://sh.lianjia.com/chengjiao/107101526908.html,2019.08.19,485,挂牌510万,成交周期39天,51536,高楼层(共6层),1994年建板楼,南 , 简装
碧林湾新苑,2室2厅,88.26平米,https://sh.lianjia.com/chengjiao/107101018093.html,2019.08.18,483,挂牌502万,成交周期184天,54725,中楼层(共18层),2010年建板楼,南 北 , 简装
碧林湾(公寓),2室2厅,97.89平米,https://sh.lianjia.com/chengjiao/107101322252.html,2019.08.17,570,挂牌598万,成交周期95天,58229,中楼层(共14层),2006年建板楼,南 北 , 精装
富丽公寓(西区),3室2厅,99.77平米,https://sh.lianjia.com/chengjiao/107101559892.html,2019.08.12,483,挂牌538万,成交周期22天,48412,中楼层(共6层),1994年建板楼,南 , 简装
水清年华花园,2室1厅,59.34平米,https://sh.lianjia.com/chengjiao/107101546520.html,2019.08.07,335,挂牌345万,成交周期21天,56455,中楼层(共11层),2011年建板楼,南 , 精装
惠明苑,2室2厅,94.81平米,https://sh.lianjia.com/chengjiao/107101347379.html,2019.08.05,429,挂牌458万,成交周期75天,45249,中楼层(共12层),2008年建板楼,南 , 精装
万科城市花园,3室2厅,94.21平米,https://sh.lianjia.com/chengjiao/107101585340.html,2019.08.05,435,挂牌490万,成交周期8天,46174,中楼层(共7层),1994年建板楼,东南 , 毛坯
万科城市花园,3室2厅,92.12平米,https://sh.lianjia.com/chengjiao/107101242793.html,2019.08.04,480,挂牌498万,成交周期106天,52106,低楼层(共7层),1995年建板楼,南 , 精装
白浪新村,2室1厅,65.63平米,https://sh.lianjia.com/chengjiao/107101275362.html,2019.08.01,439,挂牌455万,成交周期93天,66891,中楼层(共6层),1993年建板楼,南 , 简装
万泰花园,2室1厅,65.92平米,https://sh.lianjia.com/chengjiao/107101565411.html,2019.07.29,345,挂牌360万,成交周期7天,52337,低楼层(共6层),1997年建板楼,南 , 简装
金泰公寓,2室1厅,59.99平米,https://sh.lianjia.com/chengjiao/107101465397.html,2019.07.29,366,挂牌390万,成交周期34天,61011,高楼层(共6层),1996年建板楼,南 北 , 简装
水清年华花园,2室2厅,88.54平米,https://sh.lianjia.com/chengjiao/107101233829.html,2019.07.28,420,挂牌430万,成交周期102天,47437,中楼层(共6层),2005年建板楼,南 , 简装
万科城市花园,2室2厅,73.87平米,https://sh.lianjia.com/chengjiao/107101465700.html,2019.07.27,370,挂牌385万,成交周期33天,50088,中楼层(共7层),1994年建板楼,南 , 简装
摩登堂,2室2厅,89.84平米,https://sh.lianjia.com/chengjiao/107101368934.html,2019.07.26,545,挂牌560万,成交周期59天,60664,低楼层(共18层),2010年建板楼,南 , 精装
