绿地春申花园,2室2厅,94.57平米,https://sh.lianjia.com/chengjiao/107101780192.html,2019.11.11,548,挂牌580万,成交周期50天,57947,低楼层(共11层),2004年建板楼,南 , 精装
春申景城湖滨晨韵,2室2厅,84.33平米,https://sh.lianjia.com/chengjiao/107101680551.html,2019.11.11,548,挂牌588万,成交周期79天,64983,高楼层(共17层),2005年建板楼,南 , 精装
高兴花园,2室1厅,58.97平米,https://sh.lianjia.com/chengjiao/107101965928.html,2019.11.11,315,挂牌320万,成交周期1天,53282,中楼层(共6层),1996年建板楼,南 , 精装
高兴花园,2室1厅,67.41平米,https://sh.lianjia.com/chengjiao/107101884610.html,2019.11.10,313,挂牌315万,成交周期24天,46433,高楼层(共6层),1996年建板楼,南 , 简装
常兴家园,2室1厅,60.23平米,https://sh.lianjia.com/chengjiao/107101747415.html,2019.11.10,328,挂牌332万,成交周期59天,54326,高楼层(共6层),1999年建板楼,南 , 简装
中冶锦城,2室2厅,94.12平米,https://sh.lianjia.com/chengjiao/107101265642.html,2019.11.08,389,挂牌400万,成交周期195天,41331,高楼层(共11层),2013年建板楼,南 , 毛坯
高兴花园,2室1厅,76.77平米,https://sh.lianjia.com/chengjiao/107101687930.html,2019.11.08,340,挂牌358万,成交周期74天,44289,低楼层(共6层),1998年建板楼,南 , 简装
高兴花园,2室1厅,70.02平米,https://sh.lianjia.com/chengjiao/107101914380.html,2019.11.06,331,挂牌332万,成交周期12天,47201,高楼层(共6层),1996年建板楼,南 , 精装
蔷薇新村,2室1厅,55.41平米,https://sh.lianjia.com/chengjiao/107101830128.html,2019.11.06,215,挂牌218万,成交周期30天,38712,低楼层(共6层),1995年建板楼,南 北 , 简装
银兆公寓,2室1厅,92.97平米,https://sh.lianjia.com/chengjiao/107101902645.html,2019.11.05,375,挂牌379万,成交周期13天,40336,低楼层(共6层),2007年建板楼,南 , 其他
华唐苑,3室1厅,103.94平米,https://sh.lianjia.com/chengjiao/107101804392.html,2019.11.04,354,挂牌363万,成交周期37天,34059,高楼层(共6层),1998年建板楼,南 , 简装
常兴家园,1室1厅,53.73平米,https://sh.lianjia.com/chengjiao/107101804870.html,2019.11.04,282,挂牌290万,成交周期36天,52485,高楼层(共6层),1999年建板楼,南 , 简装
森安苑,2室1厅,73.56平米,https://sh.lianjia.com/chengjiao/107101474673.html,2019.11.03,280,挂牌280万,成交周期129天,38065,高楼层(共6层),2002年建板楼,南 , 精装
银河新都,2室1厅,68平米,https://sh.lianjia.com/chengjiao/107101016253.html,2019.10.31,309,挂牌317万,成交周期258天,45368,中楼层(共11层),2006年建板楼,南 , 精装
春申景城湖滨晨韵,2室2厅,73.43平米,https://sh.lianjia.com/chengjiao/107101818440.html,2019.10.31,478,挂牌489万,成交周期28天,65097,低楼层(共17层),2005年建板楼,南 , 简装
莲花新村,1室1厅,50.79平米,https://sh.lianjia.com/chengjiao/107101924879.html,2019.10.31,270,挂牌280万,成交周期2天,53161,低楼层(共6层),1998年建板楼,南 , 精装
上海春城,2室2厅,99.05平米,https://sh.lianjia.com/chengjiao/107101334334.html,2019.10.28,528,挂牌548万,成交周期162天,53307,低楼层(共14层),2004年建板楼,南 , 精装
虹景苑,2室1厅,62.26平米,https://sh.lianjia.com/chengjiao/107100927192.html,2019.10.27,233,挂牌239万,成交周期302天,37424,高楼层(共6层),1997年建板楼,南 , 精装
常兴家园,1室1厅,52.58平米,https://sh.lianjia.com/chengjiao/107101739974.html,2019.10.27,306,挂牌315万,成交周期48天,58198,中楼层(共6层),1999年建板楼,南 , 其他
