报春二村,2室1厅,62.97平米,https://sh.lianjia.com/chengjiao/107101178402.html,2019.12.09,260,挂牌268万,成交周期253天,41290,高楼层(共6层),1994年建板楼,南 北 , 简装
上海康城,2室2厅,90.59平米,https://sh.lianjia.com/chengjiao/107102007363.html,2019.12.09,302,挂牌330万,成交周期17天,33338,低楼层(共17层),2006年建板楼,南 , 简装
万科假日风景(公寓),2室2厅,95.5平米,https://sh.lianjia.com/chengjiao/107100325895.html,2019.12.08,555,挂牌570万,成交周期561天,58116,中楼层(共11层),2006年建板楼,西北 , 精装
中祥哥德堡,2室2厅,103.36平米,https://sh.lianjia.com/chengjiao/107101999750.html,2019.12.08,538,挂牌568万,成交周期18天,52003,中楼层(共17层),2004年建板楼,南 , 精装
万科假日风景(公寓),2室2厅,91.8平米,https://sh.lianjia.com/chengjiao/107101657107.html,2019.12.08,554,挂牌575万,成交周期113天,60316,中楼层(共6层),2003年建板楼,南 , 精装
水清二村,3室2厅,103.89平米,https://sh.lianjia.com/chengjiao/107101313348.html,2019.12.08,455,挂牌465万,成交周期210天,43797,中楼层(共6层),1995年建板楼,南 , 精装
宝安新苑,2室2厅,96.01平米,https://sh.lianjia.com/chengjiao/107101464242.html,2019.12.07,447,挂牌469万,成交周期166天,46558,中楼层(共6层),2004年建板楼,南 , 精装
黎安一村,2室1厅,78.29平米,https://sh.lianjia.com/chengjiao/107101503520.html,2019.12.04,270,挂牌290万,成交周期152天,34488,高楼层(共6层),1994年建板楼,南 , 简装
沁春园二村,2室2厅,86.44平米,https://sh.lianjia.com/chengjiao/107102017904.html,2019.12.04,329,挂牌350万,成交周期7天,38038,高楼层(共6层),1997年建板楼,南 北 , 简装
莘南花苑二村,2室1厅,67.91平米,https://sh.lianjia.com/chengjiao/107101569980.html,2019.12.03,361,挂牌368万,成交周期133天,53085,高楼层(共6层),1996年建板楼,南 , 简装
上海康城,2室2厅,100.85平米,https://sh.lianjia.com/chengjiao/107101905432.html,2019.12.02,355,挂牌355万,成交周期40天,35201,中楼层(共17层),2008年建板楼,南 , 精装
西环二村,2室1厅,68.6平米,https://sh.lianjia.com/chengjiao/107101985531.html,2019.12.02,253,挂牌258万,成交周期17天,36881,高楼层(共6层),1994年建板楼,南 , 简装
绿梅二村,2室1厅,59.83平米,https://sh.lianjia.com/chengjiao/107101709085.html,2019.11.30,229,挂牌273万,成交周期91天,38276,中楼层(共6层),1994年建板楼,南 , 简装
西湖苑,2室1厅,50.67平米,https://sh.lianjia.com/chengjiao/107101562207.html,2019.11.29,188,挂牌196万,成交周期131天,37103,高楼层(共6层),1994年建板楼,南 , 精装
好世鹿鸣苑,2室2厅,97.5平米,https://sh.lianjia.com/chengjiao/107101335215.html,2019.11.28,611,挂牌650万,成交周期194天,62667,低楼层(共17层),2007年建板楼,南 , 精装
莘松五村,2室1厅,59.11平米,https://sh.lianjia.com/chengjiao/107101349278.html,2019.11.28,383,挂牌389万,成交周期189天,64795,中楼层(共5层),1986年建板楼,南 , 精装
报春一村,2室1厅,62.21平米,https://sh.lianjia.com/chengjiao/107102001879.html,2019.11.26,260,挂牌270万,成交周期5天,41794,中楼层(共6层),1994年建板楼,南 , 精装
